product_id,revenue,revenue_share,cum_share,abc,rank,mean_demand,std_demand,n_periods,cv,xyz,segment,policy,units
SKU-0110,1073907.72,0.20999793304386352,0.20999793304386352,A,1,563.6687898089172,290.4953635830865,157,0.5153653507790701,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,88496
SKU-0066,519830.54,0.10165057658126847,0.311648509625132,A,2,260.312101910828,140.53696719182722,157,0.5398787308012644,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,40869
SKU-0073,317085.85,0.06200474385029707,0.3736532534754291,A,3,134.4203821656051,36.58518815259401,157,0.2721699459797791,X,AX,Automate replenishment; low safety stock; tight cycle counting,21104
SKU-0022,276221.84,0.0540139663597658,0.4276672198351949,A,4,416.7070063694268,93.18394141575891,157,0.22361980958186184,X,AX,Automate replenishment; low safety stock; tight cycle counting,65423
SKU-0045,174975.29,0.034215648653452835,0.46188286848864774,A,5,194.8535031847134,57.62220183835664,157,0.2957206357420892,X,AX,Automate replenishment; low safety stock; tight cycle counting,30592
SKU-0021,152501.31,0.029820960674797527,0.49170382916344524,A,6,140.94267515923568,45.5108104990982,157,0.3229029848318157,X,AX,Automate replenishment; low safety stock; tight cycle counting,22128
SKU-0109,149335.49,0.029201898492817006,0.5209057276562622,A,7,279.61146496815286,71.1268864092616,157,0.2543775750302757,X,AX,Automate replenishment; low safety stock; tight cycle counting,43899
SKU-0019,140116.28,0.027399122511006097,0.5483048501672683,A,8,121.50955414012739,76.47796882648997,157,0.6293988103873212,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,19077
SKU-0063,136088.26,0.026611460909821836,0.5749163110770901,A,9,67.12738853503184,19.14811569850154,157,0.28525041888839003,X,AX,Automate replenishment; low safety stock; tight cycle counting,10539
SKU-0116,122439.15,0.023942437459754513,0.5988587485368446,A,10,67.19745222929936,20.120929112221667,157,0.2994299403430144,X,AX,Automate replenishment; low safety stock; tight cycle counting,10550
SKU-0068,120672.31999999999,0.023596941621397107,0.6224556901582418,A,11,92.80891719745223,21.970298644715132,157,0.2367261606767055,X,AX,Automate replenishment; low safety stock; tight cycle counting,14571
SKU-0054,93555.24,0.01829431585185232,0.6407500060100941,A,12,40.52866242038217,15.736842493364113,157,0.3882892144362982,X,AX,Automate replenishment; low safety stock; tight cycle counting,6363
SKU-0080,93450.77,0.018273887202670907,0.659023893212765,A,13,42.261146496815286,37.77533900759406,157,0.8938550450930322,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,6635
SKU-0059,85843.92,0.016786401129868754,0.6758102943426337,A,14,102.45222929936305,30.551017831018125,157,0.298197687253332,X,AX,Automate replenishment; low safety stock; tight cycle counting,16085
SKU-0038,80880.02,0.01581573230942631,0.6916260266520601,A,15,132.7388535031847,33.200661581455726,157,0.2501201472307365,X,AX,Automate replenishment; low safety stock; tight cycle counting,20840
SKU-0100,79072.12,0.01546220541313954,0.7070882320651997,A,16,84.80891719745223,26.83547541011132,157,0.31642280430998704,X,AX,Automate replenishment; low safety stock; tight cycle counting,13315
SKU-0064,68683.24,0.013430705605464508,0.7205189376706642,A,17,26.53503184713376,11.547298864092484,157,0.43517184869479597,X,AX,Automate replenishment; low safety stock; tight cycle counting,4166
SKU-0067,60344.939999999995,0.01180018770109592,0.7323191253717601,A,18,30.019108280254777,11.091964831134442,157,0.3694968127494393,X,AX,Automate replenishment; low safety stock; tight cycle counting,4713
SKU-0031,47761.0,0.009339453561343209,0.7416585789331034,A,19,57.65605095541401,19.365814903307882,157,0.3358852120878632,X,AX,Automate replenishment; low safety stock; tight cycle counting,9052
SKU-0062,46205.59,0.009035299974444926,0.7506938789075484,A,20,26.121019108280255,10.460150461284458,157,0.40044955435787855,X,AX,Automate replenishment; low safety stock; tight cycle counting,4101
SKU-0118,43954.57,0.008595122910404082,0.7592890018179524,A,21,27.573248407643312,27.6945805634484,157,1.0044003576949407,Z,AZ,Manual planner review; high buffer or make-to-order; hedge supply,4329
SKU-0013,43766.25,0.008558297762382221,0.7678472995803347,A,22,45.496815286624205,30.835715265685526,157,0.6777554664304393,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,7143
SKU-0053,42483.83,0.008307526169740991,0.7761548257500757,A,23,15.993630573248408,14.252078937549294,157,0.8911096747093744,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,2511
SKU-0030,40972.65,0.008012021564878643,0.7841668473149543,A,24,52.63694267515923,51.77566907864701,157,0.9836374691853318,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,8264
SKU-0061,40630.69,0.00794515279035891,0.7921120001053132,A,25,17.484076433121018,9.147372535423099,157,0.5231830557600825,Y,AY,Weekly review; seasonal buffer; forecast with seasonality model,2745
SKU-0088,40604.93,0.007940115535616752,0.80005211564093,B,26,26.21019108280255,10.306229039495257,157,0.3932145708871823,X,BX,Periodic auto-replenishment; standard buffer,4115
