fold,model,test_start,test_end,wmape,mae,rmse,bias,n_obs
1,Naive,2017-10-09,2017-11-05,0.9832880356213497,10.292978208232446,29.947492386544333,0.06053268765133172,1652
1,SeasonalNaive,2017-10-09,2017-11-05,0.9658243219799919,10.110169491525424,27.74093224882499,0.3062953995157385,1652
1,MovingAvg28,2017-10-09,2017-11-05,1.3440512676475205,14.069418021445868,31.205236989632642,4.654639398132135,1652
1,HoltWinters,2017-10-09,2017-11-05,0.7234705279483203,7.573229927245947,19.944957726521896,0.0330579956766353,1652
1,LightGBM,2017-10-09,2017-11-05,0.8307375834432695,8.696092633465168,24.62234256695266,5.381958679464347,1652
2,Naive,2017-11-06,2017-12-03,0.9434572840668393,9.706416464891042,22.285200139968463,0.12772397094430993,1652
2,SeasonalNaive,2017-11-06,2017-12-03,0.9300423629089197,9.568401937046005,24.483168602004703,-0.1337772397094431,1652
2,MovingAvg28,2017-11-06,2017-12-03,1.3548902262717277,13.939294361812522,28.825228544623887,4.62435143548945,1652
2,HoltWinters,2017-11-06,2017-12-03,0.7127562123953517,7.332932558033533,15.73345717689207,-0.17236159486034883,1652
2,LightGBM,2017-11-06,2017-12-03,0.8367826316556733,8.608933176525317,21.098462635418812,5.013266515223288,1652
3,Naive,2017-12-04,2017-12-31,0.9675321763307771,13.059927360774818,36.004077318202576,0.1894673123486683,1652
3,SeasonalNaive,2017-12-04,2017-12-31,0.9003991210368177,12.153753026634382,32.919816003651746,0.7070217917675545,1652
3,MovingAvg28,2017-12-04,2017-12-31,1.263019481975489,17.0484693877551,38.086247880764326,7.140997924593566,1652
3,HoltWinters,2017-12-04,2017-12-31,0.6717770247506099,9.067769900068916,25.355581554835858,3.013328802361909,1652
3,LightGBM,2017-12-04,2017-12-31,0.8028072340955343,10.836439777903342,30.4995348968376,6.354588795739505,1652
