product_id,segment,unit_cost,avg_on_hand_units,avg_inventory_value,annual_holding_cost,ordering_cost,demand_units,shortfall_units,fill_rate,stockout_days,n_orders,safety_stock
SKU-0001,CZ,5.194,75.5802206742508,392.5636661820586,98.14091654551466,50.0,272.0,0.0,1.0,0,2,10.564302266091623
SKU-0002,BY,3.549,144.44984050120175,512.652483938765,128.16312098469126,100.0,1115.0,0.0,1.0,0,4,19.18825415983585
SKU-0003,BY,5.606999999999999,83.37634460610273,467.491164206418,116.8727910516045,100.0,567.0,0.0,1.0,0,4,11.749949745588793
SKU-0004,CZ,4.816,36.39914422117122,175.2982785691606,43.82456964229015,25.0,127.0,0.0,1.0,0,1,4.3748241531780225
SKU-0005,BX,1.8619999999999999,227.07998933293672,422.82294013792813,105.70573503448203,100.0,1683.0,0.0,1.0,0,4,22.751207211148984
SKU-0006,CZ,6.181,54.15308771729837,334.7202351806212,83.6800587951553,75.0,295.0,0.0,1.0,0,3,5.461971828887209
SKU-0007,CZ,5.130999999999999,48.24416078382561,247.5407889818092,61.8851972454523,25.0,131.0,0.0,1.0,0,1,3.712346465257483
SKU-0008,BX,5.25,157.4494541689285,826.6096343868746,206.65240859671866,150.0,1753.0,16.372285127099985,0.9906604192087279,3,6,27.8120214422431
SKU-0009,CZ,2.03,72.73206320605415,147.6460883082899,36.911522077072476,0.0,112.0,0.0,1.0,0,0,5.242409671407595
SKU-0010,CY,3.605,80.13363362748699,288.8817492270906,72.22043730677265,50.0,391.0,0.0,1.0,0,2,6.695922398609875
SKU-0011,CY,3.2199999999999998,108.66450047234868,349.89969152096273,87.47492288024068,50.0,475.0,0.0,1.0,0,2,8.477734148981
SKU-0012,CZ,5.943,28.084929430378754,166.9087356047409,41.72718390118523,0.0,29.0,0.0,1.0,0,0,1.8644964736744356
SKU-0013,AY,4.5569999999999995,231.39413015181074,1054.4630511018015,263.6157627754504,175.0,2451.0,0.0,1.0,0,7,64.79743732109374
SKU-0014,CY,5.4319999999999995,65.98846623782283,358.4493486038536,89.6123371509634,50.0,311.0,0.0,1.0,0,2,6.573107773669239
SKU-0015,CZ,3.5699999999999994,44.19205524335101,157.76563721876306,39.441409304690765,25.0,99.0,0.0,1.0,0,1,4.517285220353308
SKU-0016,CX,2.513,156.34645309367073,392.89863662439456,98.22465915609864,75.0,880.0,0.0,1.0,0,3,13.7853392050596
SKU-0017,CY,4.116,71.4199787917661,293.96463270690924,73.49115817672731,50.0,345.0,0.0,1.0,0,2,6.537679521693117
SKU-0018,CZ,1.715,44.39874917811488,76.14385484046703,19.035963710116757,0.0,22.0,0.0,1.0,0,0,1.416497403292362
SKU-0019,AY,5.452999999999999,422.90155063083665,2306.082155589952,576.520538897488,325.0,6466.0,0.0,1.0,0,13,165.56624666123352
SKU-0020,CZ,4.494,32.45906212669164,145.87102519735222,36.467756299338056,25.0,57.0,0.0,1.0,0,1,3.0749280401002927
SKU-0021,AX,5.116999999999999,403.52495673635497,2064.837203619928,516.209300904982,325.0,7004.0,10.32020168441727,0.9985265274579644,1,13,123.35133116229807
